"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","location","DistanceType","x","Species"
53.15729,-9.124868,2025,3,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",3046,"Bonnemaisonia_hamifera"
54.6232,-5.531522,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.65,-5.44999999999999,6.04,"Svalbard","seaway",2787,"Bonnemaisonia_hamifera"
53.17041,-8.988414,2024,2,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",3060,"Bonnemaisonia_hamifera"
53.17028,-8.988948,2024,2,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",3060,"Bonnemaisonia_hamifera"
49.581753,-1.261792,2024,3,"France","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",3365,"Bonnemaisonia_hamifera"
55.314423,-7.340068,2024,4,"Ireland","HUMAN_OBSERVATION",55.35,-7.44999999999999,8.01,"Svalbard","seaway",2714,"Bonnemaisonia_hamifera"
43.467149,-3.773213,2024,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",4055,"Bonnemaisonia_hamifera"
55.292948,-6.192822,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",2716,"Bonnemaisonia_hamifera"
55.258625,-6.190375,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",2716,"Bonnemaisonia_hamifera"
50.147656,-5.056799,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",3344,"Bonnemaisonia_hamifera"
55.258625,-6.190375,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",2716,"Bonnemaisonia_hamifera"
56.45114,12.5443,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",2774,"Bonnemaisonia_hamifera"
60.063679,5.44062,2024,7,"Norway","HUMAN_OBSERVATION",NA,NA,NA,"Svalbard","seaway",2096,"Bonnemaisonia_hamifera"
