"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Laeso_seaway","Laeso_geodesic","Plymouth_seaway","Plymouth_geodesic","Toralla_seaway","Toralla_geodesic"
52.2,4.4,2023,11,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.53,5581,1007,858,851,805,708,686,629,1601,1489
49.39504,-1.07739,2021,2,"France","HUMAN_OBSERVATION",49.45,-1.04999999999999,6.43,5128,1183,1325,1311,1273,1186,265,245,1148,1001
49.7539,0.29525,2021,3,"France","HUMAN_OBSERVATION",NA,NA,NA,5202,1101,1239,1232,1187,1100,338,326,1222,1091
49.7539,0.29525,2021,3,"France","HUMAN_OBSERVATION",NA,NA,NA,5202,1101,1239,1232,1187,1100,338,326,1222,1091
49.7539,0.29525,2021,3,"France","HUMAN_OBSERVATION",NA,NA,NA,5202,1101,1239,1232,1187,1100,338,326,1222,1091
49.7539,0.29525,2021,3,"France","HUMAN_OBSERVATION",NA,NA,NA,5202,1101,1239,1232,1187,1100,338,326,1222,1091
49.7539,0.29525,2021,3,"France","HUMAN_OBSERVATION",NA,NA,NA,5202,1101,1239,1232,1187,1100,338,326,1222,1091
60.353219,5.233251,2021,4,"Norway","HUMAN_OBSERVATION",60.45,5.25000000000001,10.81,6405,1750,611,373,606,492,1510,1268,2425,2240
60.444795,5.153566,2021,4,"Norway","HUMAN_OBSERVATION",60.45,5.25000000000001,5.33,6405,1750,611,373,606,492,1510,1268,2425,2240
49.06568,-1.62998,2021,5,"France","HUMAN_OBSERVATION",NA,NA,NA,5040,1213,1431,1370,1379,1245,232,233,1060,941
60.394858,5.270221,2020,4,"Norway","HUMAN_OBSERVATION",60.45,5.25000000000001,6.24,6405,1750,611,373,606,492,1510,1268,2425,2240
59.17115,5.87892,2020,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,6275,1604,471,302,466,376,1380,1171,2295,2140
59.17178,5.87882,2020,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,6275,1604,471,302,466,376,1380,1171,2295,2140
49.7539,0.29525,2019,2,"France","HUMAN_OBSERVATION",NA,NA,NA,5202,1101,1239,1232,1187,1100,338,326,1222,1091
49.7539,0.29525,2019,2,"France","HUMAN_OBSERVATION",NA,NA,NA,5202,1101,1239,1232,1187,1100,338,326,1222,1091
60.174219,5.46189,2019,4,"Norway","HUMAN_OBSERVATION",NA,NA,NA,6375,1717,579,350,574,462,1480,1248,2395,2220
