"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Gdynia_seaway","Gdynia_geodesic","TZS_seaway","TZS_geodesic"
60.136148,22.016399,2023,5,"Finland","MACHINE_OBSERVATION",NA,NA,NA,669,665,81,76
57.962392,11.663487,2023,9,"Sweden","MACHINE_OBSERVATION",NA,NA,NA,707,583,1136,699
57.990571,11.544314,2023,9,"Sweden","MACHINE_OBSERVATION",58.05,11.55,6.62,719,595,1149,701
60.146007,24.879586,2018,12,"Finland","MACHINE_OBSERVATION",60.05,24.85,10.81,737,727,99,92
60.343454,22.140932,2017,6,"Finland","MACHINE_OBSERVATION",NA,NA,NA,691,689,91,83
60.414458,22.106844,2014,10,"Finland","MACHINE_OBSERVATION",60.35,22.15,7.56,691,690,91,83
58.114256,11.661925,NA,NA,"Sweden","MACHINE_OBSERVATION",58.05,11.65,7.19,718,590,1147,696
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.6,5,2025,1,"Netherlands","HUMAN_OBSERVATION",52.75,4.65000000000001,28.93,1393,944,1823,1389
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
52.95,4.95,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1363,919,1792,1359
