"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Crete_seaway","Crete_geodesic","Getxo_seaway","Getxo_geodesic"
58.336,11.4037,2024,9,"Sweden","MATERIAL_SAMPLE",58.25,11.45,9.95,955,934,6142,2740,2179,1938
46.483533,31.8255,2019,7,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2155,Inf,1358,Inf,2751
46.483533,31.8255,2019,7,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2155,Inf,1358,Inf,2751
46.611389,31.461389,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2124,Inf,1359,Inf,2722
45.253333,30.210556,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2105,Inf,1181,Inf,2641
46.063611,30.470278,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2081,Inf,1272,Inf,2651
45.253333,30.210556,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2105,Inf,1181,Inf,2641
45.298611,29.773889,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2072,Inf,1173,Inf,2607
46.063611,30.470278,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2081,Inf,1272,Inf,2651
46.611389,31.461389,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2124,Inf,1359,Inf,2722
46.393333,31.724167,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2152,Inf,1346,Inf,2744
46.393333,31.724167,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2152,Inf,1346,Inf,2744
46.063611,30.470278,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2081,Inf,1272,Inf,2651
46.063611,30.470278,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2081,Inf,1272,Inf,2651
45.603056,29.783889,2019,9,"Ukraine","MATERIAL_SAMPLE",45.55,29.75,6.47,Inf,2057,Inf,1199,Inf,2602
45.253333,30.210556,2019,9,"Ukraine","MATERIAL_SAMPLE",NA,NA,NA,Inf,2105,Inf,1181,Inf,2641
