"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic"
39.45,-0.32,2020,7,"Spain","HUMAN_OBSERVATION",39.45,-0.24999999999999,6.02,2550,1318,4060,2306
39.44,-0.31,2020,7,"Spain","HUMAN_OBSERVATION",39.45,-0.24999999999999,5.28,2550,1318,4060,2306
41.55,2.483333,2020,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,5.55,2352,993,4341,2018
41.55,2.483333,2019,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,5.55,2352,993,4341,2018
41.55,2.483333,2018,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,5.55,2352,993,4341,2018
41.55,2.483333,2017,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,5.55,2352,993,4341,2018
41.551944,2.491944,2016,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,4.84,2352,993,4341,2018
41.551944,2.491944,2015,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,4.84,2352,993,4341,2018
41.551944,2.491944,2014,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,4.84,2352,993,4341,2018
37.092778,-8.675278,2013,NA,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,3386,2075,3014,2812
37.092778,-8.675278,2011,9,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,3386,2075,3014,2812
41.551944,2.491111,2010,NA,"Spain","HUMAN_OBSERVATION",41.55,2.55000000000001,4.91,2352,993,4341,2018
43.616667,13.534167,2008,9,"Italy","HUMAN_OBSERVATION",NA,NA,NA,214,211,6235,1706
43.616667,13.534167,2007,NA,"Italy","HUMAN_OBSERVATION",NA,NA,NA,214,211,6235,1706
44.375,8.941389,2005,7,"Italy","HUMAN_OBSERVATION",NA,NA,NA,2027,387,4932,1620
44.385278,9.0075,2005,7,"Italy","HUMAN_OBSERVATION",NA,NA,NA,2022,381,4938,1618
40.4,0.44,2004,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2511,1211,4150,2188
39.42,-0.33,2004,5,"Spain","HUMAN_OBSERVATION",39.45,-0.24999999999999,7.65,2550,1318,4060,2306
41.165833,16.901944,2004,9,"Italy","HUMAN_OBSERVATION",NA,NA,NA,574,554,5840,2011
37.97,-0.69,2003,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2572,1449,3851,2474
38.54,-0.15,2003,7,"Spain","HUMAN_OBSERVATION",38.45,-0.14999999999999,10.02,2521,1379,3921,2410
38.54,-0.15,2003,7,"Spain","HUMAN_OBSERVATION",38.45,-0.14999999999999,10.02,2521,1379,3921,2410
41.166111,16.902222,2003,8,"Italy","HUMAN_OBSERVATION",NA,NA,NA,574,554,5840,2011
38.54,-0.15,2003,9,"Spain","HUMAN_OBSERVATION",38.45,-0.14999999999999,10.02,2521,1379,3921,2410
39.274181,22.820158,2003,10,"Greece","HUMAN_OBSERVATION",NA,NA,NA,1574,1029,6309,2334
40.04,0.08,2003,11,"Spain","HUMAN_OBSERVATION",40.05,0.15000000000001,6.07,2530,1252,4115,2232
40.04,0.08,2003,11,"Spain","HUMAN_OBSERVATION",40.05,0.15000000000001,6.07,2530,1252,4115,2232
37.97,-0.69,2002,7,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2572,1449,3851,2474
44.004444,10.102778,2001,6,"Italy","HUMAN_OBSERVATION",43.95,10.15,7.14,1940,322,4980,1662
44.004444,10.102778,2000,6,"Italy","HUMAN_OBSERVATION",43.95,10.15,7.14,1940,322,4980,1662
44.004722,10.102778,1998,8,"Italy","HUMAN_OBSERVATION",43.95,10.15,7.17,1940,322,4980,1662
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
43.41,-1.64,2021,8,"France","MATERIAL_SAMPLE",NA,NA,NA,4740,1231,2224,1930
