"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Gdynia_seaway","Gdynia_geodesic","SWC_seaway","SWC_geodesic"
59.922728,23.20336,2020,6,"Finland","MACHINE_OBSERVATION",59.85,23.25,8.5,665,662,1103,708
41.2,1.6763,2020,9,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4859,1935,4239,1968
59.934438,24.442601,2019,5,"Finland","MACHINE_OBSERVATION",NA,NA,NA,714,703,1164,775
59.898023,23.677022,2019,NA,"Finland","MACHINE_OBSERVATION",NA,NA,NA,679,678,1119,733
41.6774,2.8076,2018,1,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4958,1838,4338,1889
41.9368,3.2194,2018,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,5004,1795,4384,1852
41.1981,1.6726,2018,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4859,1936,4239,1968
41.9247,3.2173,2018,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,5004,1796,4384,1853
41.9248,3.2172,2018,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,5004,1796,4384,1853
41.1973,1.6729,2018,12,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4859,1936,4239,1968
41.9191,3.2164,2018,12,"Spain","MACHINE_OBSERVATION",NA,NA,NA,5004,1797,4384,1854
41.1496,1.4285,2017,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4851,1952,4230,1979
41.1435,1.4147,2017,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4851,1953,4230,1980
36.7677,-6.3873,2017,7,"Spain","MACHINE_OBSERVATION",36.75,-6.44999999999999,5.93,3814,2747,3194,2684
36.7677,-6.3873,2017,7,"Spain","MACHINE_OBSERVATION",36.75,-6.44999999999999,5.93,3814,2747,3194,2684
41.8595,3.1589,2017,8,"Spain","MACHINE_OBSERVATION",41.85,3.25000000000001,7.63,4994,1802,4374,1860
41.7311,2.9492,2017,8,"Spain","MACHINE_OBSERVATION",41.65,2.95000000000001,9.03,4962,1834,4342,1889
41.6774,2.8076,2017,11,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4958,1838,4338,1889
41.1954,1.6542,2016,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4859,1937,4239,1969
39.5562,3.3693,2016,8,"Spain","MACHINE_OBSERVATION",39.55,3.45000000000001,6.96,4836,2011,4216,2103
42.3957,-8.7829,2016,8,"Spain","MACHINE_OBSERVATION",42.35,-8.84999999999999,7.51,3001,2416,2381,2236
37.584,-1.0736,2016,9,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4387,2401,3767,2423
38.672,0.0987,2016,10,"Spain","MACHINE_OBSERVATION",38.65,0.15000000000001,5.09,4551,2243,3931,2277
39.486,2.5331,2015,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4766,2056,4146,2129
36.5815,-6.2678,2015,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,3839,2753,3218,2695
38.8398,1.394,2015,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4643,2168,4023,2225
41.198,1.6726,2014,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4859,1936,4239,1968
39.534,2.59,2014,7,"Spain","MACHINE_OBSERVATION",39.55,2.65000000000001,5.45,4780,2045,4160,2120
39.5321,2.4577,2014,8,"Spain","MACHINE_OBSERVATION",39.45,2.45000000000001,9.16,4760,2063,4140,2135
41.1956,1.652,2014,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4859,1937,4239,1969
42.3518,3.1859,2014,9,"Spain","MACHINE_OBSERVATION",42.35,3.25000000000001,5.28,5052,1756,4431,1807
38.9918,8.3905,2014,9,"Italy","MACHINE_OBSERVATION",NA,NA,NA,5238,1884,4617,2092
37.6835,-0.7371,2013,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4414,2376,3794,2403
37.6345,-0.6936,2013,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4421,2378,3801,2407
41.198,1.6726,2013,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4859,1936,4239,1968
37.6344,-0.6935,2013,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4421,2378,3801,2407
37.67,-0.7402,2013,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4414,2377,3794,2405
37.6337,-0.6995,2013,10,"Spain","MACHINE_OBSERVATION",NA,NA,NA,4421,2379,3801,2408
60.25234,25.391212,2012,5,"Finland","MACHINE_OBSERVATION",NA,NA,NA,772,762,1228,835
