"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","RavennaH_seaway","RavennaH_geodesic"
37.592538,-0.986387,2024,9,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2578,1353
37.592538,-0.986387,2023,9,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2578,1353
37.592538,-0.986387,2023,9,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2578,1353
37.59228,-0.986564,2023,9,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2578,1353
42.097493,11.776785,2022,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,1649,265
44.6775,-1.10333,2015,3,"France","HUMAN_OBSERVATION",44.75,-1.14999999999999,8.88,4764,1071
43.5551,4.07935,2014,1,"France","HUMAN_OBSERVATION",NA,NA,NA,2255,670
44.6775,-1.10333,2013,4,"France","HUMAN_OBSERVATION",44.75,-1.14999999999999,8.88,4764,1071
43.44014,-1.65372,NA,NA,"France","HUMAN_OBSERVATION",NA,NA,NA,4707,1128
43.42445,-1.67256,NA,NA,"France","HUMAN_OBSERVATION",NA,NA,NA,4707,1130
