"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
54.493527,-5.651326,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.29,527,306,609,476,682,659
54.493516,-5.650446,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.29,527,306,609,476,682,659
48.639871,-2.246114,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,862,735,235,237,143,127
48.639935,-2.246243,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,862,735,235,237,143,127
49.1743,-2.11367,2024,2,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,849,700,198,198,147,145
51.27029,3.21224,2024,2,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,9.87,1243,904,569,526,605,588
51.7,3.9,2024,4,"Netherlands","HUMAN_OBSERVATION",51.75,3.85000000000001,6.55,1306,937,632,582,668,651
54.49358,-5.651375,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.28,527,306,609,476,682,659
54.665437,-5.67325,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,9.53,501,316,637,498,709,681
54.493603,-5.651308,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.28,527,306,609,476,682,659
54.493592,-5.651272,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.28,527,306,609,476,682,659
54.49358,-5.651375,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.28,527,306,609,476,682,659
54.415491,-5.628553,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,6.37,540,307,596,464,669,647
54.665437,-5.67325,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,9.53,501,316,637,498,709,681
54.493592,-5.651272,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.28,527,306,609,476,682,659
54.415491,-5.628553,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,6.37,540,307,596,464,669,647
54.493603,-5.651308,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.28,527,306,609,476,682,659
47.38697,-2.529831,2024,9,"France","HUMAN_OBSERVATION",NA,NA,NA,942,830,444,352,304,183
48.568796,-1.979144,2023,5,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,10.44,876,744,245,244,158,141
49.34041,-0.2702,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,977,790,318,302,321,279
49.169857,-2.175458,2023,7,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,849,697,198,195,147,141
49.34041,-0.2702,2023,7,"France","HUMAN_OBSERVATION",NA,NA,NA,977,790,318,302,321,279
51.65,3.75,2023,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1296,933,622,573,657,640
47.28644,-2.52363,2023,8,"France","HUMAN_OBSERVATION",NA,NA,NA,946,839,448,363,307,192
49.67972,-1.72389,2023,8,"France","HUMAN_OBSERVATION",49.75,-1.74999999999999,8.05,854,678,195,185,198,198
51.35787,3.35626,2023,8,"Belgium","HUMAN_OBSERVATION",51.45,3.35000000000001,10.27,1261,913,587,541,622,605
51.35793,3.35646,2023,8,"Belgium","HUMAN_OBSERVATION",51.45,3.35000000000001,10.26,1261,913,587,541,622,605
51.211832,-4.115608,2023,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,618,447,274,94,347,278
54.491112,-5.649472,2023,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.56,527,306,609,476,682,659
