"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Limfjord_seaway","Limfjord_geodesic"
51.239066,2.926554,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.47,25,24,778,748
54.345377,8.595128,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,514,495,346,286
52.96803,0.518868,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",52.95,0.45000000000001,5.04,286,257,734,705
51.103134,2.584767,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,50,48,798,772
51.309478,3.100855,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,6,760,734
52.143061,4.322545,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,5.02,119,117,647,613
52.143932,4.323863,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,5.09,119,117,647,613
52.147218,4.327997,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,5.34,119,117,647,613
51.231764,2.908017,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.52,25,24,778,748
52.258808,4.438928,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.14,132,130,635,600
52.257572,4.437758,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.04,132,130,635,600
51.080819,2.517225,2025,1,"France","HUMAN_OBSERVATION",51.15,2.55000000000001,8.03,50,47,798,768
52.95,4.7,2025,1,"Netherlands","HUMAN_OBSERVATION",52.95,4.65000000000001,3.35,206,206,554,523
51.062558,2.441558,2025,1,"France","HUMAN_OBSERVATION",51.15,2.45000000000001,9.75,57,54,802,772
51.4,3.6,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,6.56,32,30,738,705
51.7,3.75,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,56,57,712,674
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,158,156,610,574
52.35,4.5,2025,1,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,3.4,145,143,623,587
53.45,5.8,2025,1,"Netherlands","HUMAN_OBSERVATION",53.55,5.75000000000001,11.61,304,302,463,428
53.609156,6.685328,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,362,348,432,396
53.567778,6.698913,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,358,345,443,400
53.253341,0.329961,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,297,286,724,689
51.068596,2.470216,2025,1,"France","HUMAN_OBSERVATION",51.15,2.45000000000001,9.17,57,54,802,772
54.649192,8.314018,2025,1,"Germany","HUMAN_OBSERVATION",54.65,8.25000000000001,4.12,509,502,310,256
53.58187,6.6599,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,358,344,443,400
53,4.8,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,213,216,548,513
52.05,4.2,2025,1,"Netherlands","HUMAN_OBSERVATION",52.05,4.15000000000001,3.42,106,104,660,626
53,4.8,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,213,216,548,513
54.265254,8.669219,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,517,493,358,295
53,4.8,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,213,216,548,513
53.683599,7.102243,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,395,373,427,379
53.758938,7.589874,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,425,403,412,362
53.73125,7.434212,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,418,393,413,368
53.731267,7.374938,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,412,390,414,369
53.667294,6.883161,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,375,361,430,386
53.667294,6.883161,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,375,361,430,386
53.667294,6.883161,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,375,361,430,386
53.3,5.05,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,250,253,512,475
53.15,4.8,2025,1,"Netherlands","HUMAN_OBSERVATION",53.15,4.75000000000001,3.34,229,228,531,500
53.15,4.8,2025,1,"Netherlands","HUMAN_OBSERVATION",53.15,4.75000000000001,3.34,229,228,531,500
53.1,4.75,2025,1,"Netherlands","HUMAN_OBSERVATION",53.15,4.75000000000001,5.57,229,228,531,500
52.2,4.4,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,6.53,132,130,635,600
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,635,600
53.725142,7.363865,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,412,389,414,370
52.35,4.5,2025,1,"Netherlands","HUMAN_OBSERVATION",52.35,4.45000000000001,3.4,145,143,623,587
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,158,156,610,574
53,4.8,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,213,216,548,513
52.2,4.35,2025,1,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.57,132,130,635,600
51.7,3.75,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,56,57,712,674
53.678186,6.951285,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,381,366,429,383
52.978013,0.813501,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,0.85000000000001,8.38,256,246,704,677
51.27135,3.21358,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,9.81,0,0,760,728
51.34327,3.23307,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,5.82,0,0,760,728
51.11141,2.6632,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,43,795,768
51.13947,2.68753,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,40,795,764
51.13325,2.67538,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,41,795,765
51.08946,2.54654,2025,1,"Belgium","HUMAN_OBSERVATION",51.15,2.55000000000001,6.74,50,47,798,768
51.23973,2.92664,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.46,25,24,778,748
51.15399,2.7194,2025,1,"Belgium","HUMAN_OBSERVATION",51.15,2.65000000000001,4.87,43,41,795,765
51.24113,2.9326,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.84,25,24,778,748
51.24181,2.93583,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,6.05,25,24,778,748
51.33347,3.17897,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,3,760,729
51.09868,2.57274,2025,1,"Belgium","HUMAN_OBSERVATION",51.15,2.55000000000001,5.93,50,47,798,768
51.23927,2.93081,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.76,25,24,778,748
51.24044,2.93031,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.7,25,24,778,748
51.28138,3.03448,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.05000000000001,7.71,7,7,762,731
51.28139,3.03447,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.05000000000001,7.71,7,7,762,731
51.24396,2.93786,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,6.16,25,24,778,748
51.34344,3.23023,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,5.63,0,0,760,728
51.06601,3.09322,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,26.61,25,24,778,748
51.34448,3.22622,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,5.34,0,0,760,728
51.20968,2.86254,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,25,25,778,752
51.24499,2.94611,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,6.72,25,24,778,748
51.23868,2.92755,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.55,25,24,778,748
51.16214,2.74973,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.75000000000001,9.78,32,30,781,752
51.16203,2.7499,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.75000000000001,9.79,32,30,781,752
51.13905,2.68448,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,40,795,765
51.23932,2.93028,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.72,25,24,778,748
51.24046,2.93402,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.95,25,24,778,748
51.24054,2.9342,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.96,25,24,778,748
51.23868,2.9282,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.59,25,24,778,748
51.2386,2.92802,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.58,25,24,778,748
51.24086,2.93434,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.96,25,24,778,748
51.3222,3.14759,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,3,760,731
51.31565,3.11496,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,5,760,733
51.31757,3.12137,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,4,760,732
51.31357,3.11391,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,5,760,733
51.31401,3.11496,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,5,760,733
51.31671,3.12542,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,4,760,732
51.12282,2.63206,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,44,795,768
51.09583,2.56192,2025,1,"Belgium","HUMAN_OBSERVATION",51.15,2.55000000000001,6.09,50,47,798,768
51.13939,2.68502,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,40,795,765
51.12432,2.63595,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,44,795,768
51.2392,2.92811,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.57,25,24,778,748
51.11373,2.61078,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,46,795,770
51.11359,2.61025,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,43,46,795,770
51.0968,2.56786,2025,1,"Belgium","HUMAN_OBSERVATION",51.15,2.55000000000001,6.05,50,47,798,768
51.24313,2.93982,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,6.31,25,24,778,748
51.09613,2.5648,2025,1,"Belgium","HUMAN_OBSERVATION",51.15,2.55000000000001,6.09,50,47,798,768
51.26442,2.9957,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,2.95000000000001,10.04,14,14,765,735
51.24447,2.94512,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,6.66,25,24,778,748
51.24119,2.93642,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,6.1,25,24,778,748
54.875854,8.288941,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,523,522,287,231
54.680965,8.516609,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,526,517,312,250
53.673428,6.957585,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,381,366,429,383
53.68819,7.085786,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,388,373,428,379
54.67971,8.543953,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,526,518,312,249
