"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Gdynia_seaway","Gdynia_geodesic"
40.642681,22.835087,2024,11,"Greece","HUMAN_OBSERVATION",40.55,22.85,10.39,7013,1577
38.210561,-1.834122,2021,4,"Spain","HUMAN_OBSERVATION",37.55,-1.34999999999999,84.95,4369,2417
37.989327,-1.166818,2020,11,"Spain","HUMAN_OBSERVATION",37.75,-0.84999999999999,38.53,4417,2375
47.278676,-2.156496,2016,NA,"France","HUMAN_OBSERVATION",47.25,-2.24999999999999,7.75,2464,1667
52.517557,4.894304,2008,4,"Netherlands","HUMAN_OBSERVATION",52.75,4.65000000000001,30.69,1393,944
52.87648,4.934806,2006,9,"Netherlands","HUMAN_OBSERVATION",52.95,4.95000000000001,8.25,1363,919
52.867691,4.909562,2006,9,"Netherlands","HUMAN_OBSERVATION",52.95,4.95000000000001,9.56,1363,919
46.697777,-1.944529,1996,NA,"France","HUMAN_OBSERVATION",NA,NA,NA,2509,1685
48.625858,-2.035119,NA,NA,"France","HUMAN_OBSERVATION",NA,NA,NA,2068,1567
45.303189,-0.744618,NA,NA,"France","HUMAN_OBSERVATION",NA,NA,NA,2680,1716
47.605581,-2.957123,NA,NA,"France","HUMAN_OBSERVATION",47.55,-2.94999999999999,6.21,2400,1690
47.270269,-2.201003,NA,NA,"France","HUMAN_OBSERVATION",NA,NA,NA,2464,1662
47.029362,-2.055863,NA,NA,"France","HUMAN_OBSERVATION",NA,NA,NA,2486,1670
41.47,0.3,2022,7,"Spain","OCCURRENCE",40.85,0.85000000000001,83,4807,2007
41.03,0.56,2022,8,"Spain","OCCURRENCE",40.85,0.85000000000001,31.56,4807,2007
41.84,0.89,2021,5,"Spain","OCCURRENCE",41.15,1.45000000000001,89.89,4851,1951
41.21,0.55,2021,9,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
40.94,0.56,2021,9,"Spain","OCCURRENCE",40.85,0.85000000000001,26.38,4807,2007
41.85,1.73,2020,6,"Spain","OCCURRENCE",41.35,2.25000000000001,70.51,4904,1894
41.77,1.85,2020,6,"Spain","OCCURRENCE",41.35,2.25000000000001,57.41,4904,1894
41.03,0.56,2020,7,"Spain","OCCURRENCE",40.85,0.85000000000001,31.56,4807,2007
41.12,0.67,2020,7,"Spain","OCCURRENCE",40.85,0.85000000000001,33.65,4807,2007
41.21,0.55,2020,7,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.21,0.55,2020,7,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.21,0.55,2020,7,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.3,0.55,2019,8,"Spain","OCCURRENCE",40.95,0.95000000000001,51.41,4819,1993
41.3,0.55,2019,8,"Spain","OCCURRENCE",40.95,0.95000000000001,51.41,4819,1993
41.21,0.55,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.21,0.55,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.21,0.55,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.66,0.65,2019,8,"Spain","OCCURRENCE",41.05,1.05000000000001,75.68,4832,1979
41.66,0.65,2019,8,"Spain","OCCURRENCE",41.05,1.05000000000001,75.68,4832,1979
41.12,0.67,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,33.65,4807,2007
40.94,0.56,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,26.38,4807,2007
40.94,0.56,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,26.38,4807,2007
41.03,0.56,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,31.56,4807,2007
40.85,0.56,2019,8,"Spain","OCCURRENCE",40.85,0.85000000000001,24.42,4807,2007
41.66,0.65,2018,8,"Spain","OCCURRENCE",41.05,1.05000000000001,75.68,4832,1979
41.66,0.65,2018,8,"Spain","OCCURRENCE",41.05,1.05000000000001,75.68,4832,1979
40.94,0.56,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,26.38,4807,2007
40.94,0.56,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,26.38,4807,2007
41.03,0.56,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,31.56,4807,2007
41.03,0.56,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,31.56,4807,2007
40.85,0.56,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,24.42,4807,2007
41.3,0.55,2018,9,"Spain","OCCURRENCE",40.95,0.95000000000001,51.41,4819,1993
41.3,0.55,2018,9,"Spain","OCCURRENCE",40.95,0.95000000000001,51.41,4819,1993
41.21,0.55,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.21,0.55,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.12,0.67,2018,9,"Spain","OCCURRENCE",40.85,0.85000000000001,33.65,4807,2007
41.21,0.55,2017,9,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
41.21,0.55,2017,9,"Spain","OCCURRENCE",40.85,0.85000000000001,47.34,4807,2007
