"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Crete_seaway","Crete_geodesic","Limfjord_seaway","Limfjord_geodesic","Plymouth_seaway","Plymouth_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","SWC_seaway","SWC_geodesic","TZS_seaway","TZS_geodesic"
59.782357,10.498447,2025,3,"Norway","HUMAN_OBSERVATION",59.75,10.55,4.62,Inf,2912,Inf,329,Inf,1399,Inf,1707,Inf,1707,Inf,1543,Inf,240,Inf,712
59.23693,10.38205,2024,4,"Norway","HUMAN_OBSERVATION",59.15,10.35,9.85,6164,2859,258,262,1501,1346,6363,1641,6363,1641,1536,1488,187,182,1289,734
57.62076,11.74863,2024,8,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6143,2670,211,181,1479,1314,6342,1466,6342,1466,1515,1438,0,7,1103,709
57.64124,11.76249,2024,8,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6143,2672,211,183,1479,1315,6342,1468,6342,1468,1515,1440,0,5,1103,708
57.64072,11.76432,2024,8,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6143,2671,211,183,1479,1316,6342,1468,6342,1468,1515,1440,0,5,1103,708
57.64675,11.74377,2024,8,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6143,2673,211,182,1479,1315,6342,1469,6342,1469,1515,1439,0,4,1103,708
57.64714,11.74424,2024,8,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6143,2673,211,182,1479,1315,6342,1469,6342,1469,1515,1439,0,4,1103,708
57.59487,11.91238,2024,8,"Sweden","HUMAN_OBSERVATION",57.55,11.85,6.23,6145,2660,213,184,1482,1315,6344,1458,6344,1458,1517,1438,13,16,1090,707
57.62151,11.93009,2024,8,"Sweden","HUMAN_OBSERVATION",57.55,11.85,9.28,6145,2660,213,184,1482,1315,6344,1458,6344,1458,1517,1438,13,16,1090,707
57.64031,11.8559,2024,8,"Sweden","HUMAN_OBSERVATION",57.65,11.75,6.4,6143,2673,211,183,1479,1315,6342,1469,6342,1469,1515,1440,0,4,1103,708
57.63973,11.85301,2024,8,"Sweden","HUMAN_OBSERVATION",57.55,11.85,9.99,6145,2660,213,184,1482,1315,6344,1458,6344,1458,1517,1438,13,16,1090,707
57.66719,11.85482,2024,8,"Sweden","HUMAN_OBSERVATION",57.65,11.75,6.53,6143,2673,211,183,1479,1315,6342,1469,6342,1469,1515,1440,0,4,1103,708
59.383401,10.478201,2021,11,"Norway","HUMAN_OBSERVATION",NA,NA,NA,6187,2878,281,289,1524,1369,6386,1666,6386,1666,1559,1511,205,203,1308,722
59.383401,10.478201,2021,11,"Norway","HUMAN_OBSERVATION",NA,NA,NA,6187,2878,281,289,1524,1369,6386,1666,6386,1666,1559,1511,205,203,1308,722
51.907361,-8.312704,2021,NA,"Ireland","HUMAN_OBSERVATION",51.85,-8.24999999999999,7.7,4842,3216,1665,1253,395,331,5041,1731,5041,1731,467,463,1859,1433,2909,2138
51.907361,-8.312704,2021,NA,"Ireland","HUMAN_OBSERVATION",51.85,-8.24999999999999,7.7,4842,3216,1665,1253,395,331,5041,1731,5041,1731,467,463,1859,1433,2909,2138
57.58993,11.91923,2020,9,"Sweden","HUMAN_OBSERVATION",57.55,11.85,6.07,6145,2660,213,184,1482,1315,6344,1458,6344,1458,1517,1438,13,16,1090,707
57.60139,11.92307,2020,9,"Sweden","HUMAN_OBSERVATION",57.55,11.85,7.19,6145,2660,213,184,1482,1315,6344,1458,6344,1458,1517,1438,13,16,1090,707
