"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Limfjord_seaway","Limfjord_geodesic"
52.7,4.6,2021,5,"Netherlands","HUMAN_OBSERVATION",52.75,4.55000000000001,6.51,183,183,577,545
53.05,4.85,2019,4,"Netherlands","HUMAN_OBSERVATION",53.05,4.95000000000001,6.69,226,226,535,503
45.89567,-1.087,2018,6,"France","HUMAN_OBSERVATION",45.85,-1.14999999999999,7.05,1089,689,1805,1417
45.89511,-1.08813,2018,6,"France","HUMAN_OBSERVATION",45.85,-1.14999999999999,6.94,1089,689,1805,1417
45.89617,-1.0881,2018,6,"France","HUMAN_OBSERVATION",45.85,-1.14999999999999,7.03,1089,689,1805,1417
45.91552,-1.21459,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,6.3,1079,679,1795,1407
45.9433,-1.21764,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.29,1079,679,1795,1407
45.9437,-1.21882,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.37,1079,679,1795,1407
45.9437,-1.21882,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.37,1079,679,1795,1407
45.9433,-1.21764,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.29,1079,679,1795,1407
45.91552,-1.21459,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,6.3,1079,679,1795,1407
45.9433,-1.21764,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.29,1079,679,1795,1407
45.91552,-1.21459,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,6.3,1079,679,1795,1407
45.9433,-1.21764,2018,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.29,1079,679,1795,1407
45.97876,-1.08817,2018,10,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.76,1079,679,1795,1407
46.04903,-1.068,2018,10,"France","HUMAN_OBSERVATION",46.05,-1.14999999999999,6.34,1071,669,1787,1397
46.26954,-1.19989,2018,10,"France","HUMAN_OBSERVATION",NA,NA,NA,1059,649,1775,1377
45.97876,-1.08817,2017,4,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.76,1079,679,1795,1407
45.97932,-1.08867,2017,4,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.76,1079,679,1795,1407
45.97934,-1.08929,2017,4,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,5.72,1079,679,1795,1407
46.04958,-1.06885,2017,6,"France","HUMAN_OBSERVATION",46.05,-1.14999999999999,6.27,1071,669,1787,1397
46.04958,-1.06885,2017,6,"France","HUMAN_OBSERVATION",46.05,-1.14999999999999,6.27,1071,669,1787,1397
45.89617,-1.0881,2017,6,"France","HUMAN_OBSERVATION",45.85,-1.14999999999999,7.03,1089,689,1805,1417
46.26925,-1.20223,2017,10,"France","HUMAN_OBSERVATION",NA,NA,NA,1051,649,1767,1377
46.22311,-1.50338,2017,10,"France","HUMAN_OBSERVATION",46.25,-1.44999999999999,5.08,1038,660,1754,1387
